Group,Temperature_Group,Temperature_Celsius,HeartRate_bpm
1,Normal,22.5,156
2,Normal,22.5,174
3,Normal,22.5,186
4,Normal,22.5,168
5,Normal,22.5,180
6,Normal,22.5,150
7,Normal,22.5,228
8,Normal,22.5,174
9,Normal,22.5,198
10,Normal,22.5,270
11,Normal,22.5,204
12,Normal,22.5,246
13,Normal,22.5,180
14,Normal,22.5,300
15,Normal,22.5,210
16,Normal,22.5,162
17,Normal,22.5,222
18,Normal,22.5,204
19,Normal,22.5,306
20,Normal,22.5,210
1,Cold,18,54
2,Cold,18,66
3,Cold,18,150
4,Cold,18,156
5,Cold,18,122
6,Cold,18,114
7,Cold,18,250
8,Cold,18,138
9,Cold,18,132
10,Cold,18,66
11,Cold,18,150
12,Cold,18,240
13,Cold,18,156
14,Cold,18,234
15,Cold,18,186
16,Cold,18,204
17,Cold,18,198
18,Cold,18,120
19,Cold,18,240
20,Cold,18,192
1,Warm,29,150
2,Warm,29,186
3,Warm,29,240
4,Warm,29,240
5,Warm,29,222
6,Warm,29,180
7,Warm,29,246
8,Warm,29,216
9,Warm,29,240
10,Warm,29,294
11,Warm,29,252
12,Warm,29,198
13,Warm,29,204
14,Warm,29,360
15,Warm,29,234
16,Warm,29,216
17,Warm,29,270
18,Warm,29,216
19,Warm,29,366
20,Warm,29,198
